Time	Fx	Fy	Fz	Mx	My	Mz
3.998000	0.67103046	0.16427250	-0.33166027	0.53694022	-0.01103994	-0.15512739
3.999000	0.17773965	0.82199377	-0.66052049	-0.20299618	-0.20835623	-0.37710831
4.000000	0.17773965	0.32870275	2.29922485	-0.05500886	-0.01103994	-0.37710831
4.001000	0.34216976	0.82199377	0.65492189	-0.20299618	-0.01103994	-0.00714012
4.002000	0.17773965	0.82199377	-0.98938143	-0.35098350	-0.01103994	-0.22912106
4.003000	0.01330918	0.16427250	0.32606116	-0.05500886	0.08761827	-0.37710831
4.004000	0.99989122	-0.00015786	-1.97596335	0.09297836	0.38359290	-0.08113378
4.005000	0.50660014	0.82199377	-0.66052049	-0.05500886	0.18627648	-0.22912106
4.006000	0.50660014	-0.00015786	-0.00279956	-0.05500886	0.08761827	-0.15512739
4.007000	0.99989122	0.65756345	-0.33166027	-0.35098350	-0.20835623	-0.00714012
4.008000	0.17773965	0.65756345	-1.64710259	-0.05500886	0.18627648	-0.30311471
4.009000	0.17773965	0.32870275	-0.66052049	-0.20299618	0.08761827	-0.22912106
4.010000	0.17773965	0.16427250	-0.98938143	0.09297836	-0.01103994	-0.08113378
4.011000	0.50660014	-0.00015786	-0.98938143	-0.20299618	0.18627648	-0.08113378
4.012000	-0.47998178	0.98642403	-0.00279956	0.38895288	-0.10969816	-0.22912106
4.013000	0.17773965	0.32870275	0.32606116	-0.05500886	0.48225111	-0.22912106
4.014000	0.34216976	-0.00015786	0.98378259	-0.20299618	-0.10969816	-0.00714012
4.015000	-0.47998178	0.65756345	1.64150405	-0.20299618	-0.20835623	-0.08113378
4.016000	-0.31555140	0.49313310	1.31264329	-0.20299618	0.18627648	-0.15512739
4.017000	0.01330918	-0.00015786	0.32606116	-0.49897081	0.08761827	-0.00714012
4.018000	-0.31555140	0.82199377	-0.98938143	-0.35098350	0.08761827	-0.08113378
4.019000	0.17773965	0.32870275	-0.98938143	-0.20299618	0.08761827	-0.08113378
4.020000	0.34216976	0.49313310	-0.33166027	-0.49897081	-0.10969816	0.06685354
4.021000	0.17773965	0.16427250	0.65492189	-0.05500886	-0.10969816	-0.00714012
4.022000	0.17773965	0.65756345	-0.98938143	-0.35098350	0.48225111	-0.08113378
4.023000	0.17773965	0.32870275	0.65492189	-0.64695805	-0.01103994	0.21484083
4.024000	0.17773965	0.49313310	-0.33166027	-0.35098350	0.38359290	-0.15512739
4.025000	0.50660014	0.16427250	-1.31824195	-0.49897081	0.28493470	0.06685354
4.026000	0.17773965	0.49313310	-0.00279956	-0.64695805	0.08761827	0.14084718
4.027000	0.34216976	0.32870275	-0.66052049	-0.05500886	0.18627648	0.06685354
4.028000	-0.15112105	-0.00015786	-0.66052049	-0.05500886	0.28493470	-0.22912106
4.029000	0.17773965	0.32870275	0.32606116	-0.35098350	-0.10969816	0.14084718
4.030000	-0.15112105	0.65756345	-0.66052049	-0.79494536	-0.01103994	0.14084718
4.031000	-0.64441210	0.49313310	-0.66052049	-0.64695805	0.08761827	0.06685354
4.032000	-0.15112105	0.16427250	-1.31824195	-0.05500886	-0.01103994	0.21484083
4.033000	-0.31555140	0.65756345	-0.66052049	-0.79494536	0.18627648	0.06685354
4.034000	-0.47998178	-0.32901844	-0.00279956	-0.20299618	0.58090931	0.06685354
4.035000	0.17773965	0.49313310	0.65492189	-0.64695805	0.18627648	-0.00714012
4.036000	-0.31555140	0.49313310	0.98378259	-0.35098350	0.28493470	-0.08113378
4.037000	-0.31555140	0.82199377	-0.66052049	-0.64695805	0.48225111	-0.00714012
4.038000	0.01330918	0.32870275	0.65492189	-0.20299618	0.18627648	0.28883445
4.039000	-0.31555140	0.82199377	-0.33166027	0.24096578	0.18627648	-0.08113378
4.040000	0.17773965	0.65756345	-0.66052049	0.24096578	0.38359290	0.21484083
4.041000	-0.15112105	0.16427250	0.98378259	0.09297836	0.28493470	0.21484083
4.042000	0.01330918	0.32870275	-1.31824195	0.09297836	0.38359290	-0.00714012
4.043000	-0.47998178	-0.00015786	1.31264329	-0.20299618	0.38359290	-0.00714012
4.044000	0.01330918	0.16427250	-1.31824195	0.38895288	0.28493470	0.14084718
4.045000	-0.47998178	0.98642403	-1.31824195	-0.35098350	0.67956740	0.14084718
4.046000	-0.47998178	0.32870275	0.32606116	-0.05500886	0.18627648	0.14084718
4.047000	0.17773965	0.32870275	-0.66052049	-0.20299618	0.18627648	0.28883445
4.048000	-0.31555140	0.65756345	-0.98938143	-0.49897081	0.58090931	0.21484083
4.049000	-0.15112105	0.16427250	-0.98938143	-0.64695805	0.18627648	0.21484083
4.050000	0.01330918	0.32870275	-1.64710259	0.09297836	0.38359290	0.21484083
4.051000	-0.47998178	0.65756345	-0.00279956	-0.20299618	0.28493470	0.14084718
4.052000	-0.15112105	-0.00015786	-0.33166027	-0.64695805	0.48225111	0.14084718
